___November_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
 113   3   45.00  -85.00       -0.1461
 114   3   47.00  -85.00       -0.1461
 115   3   49.00  -85.00       -0.1461
 116   3   51.00  -85.00       -0.1461
 117   3   53.00  -85.00       -0.1461
 118   3   55.00  -85.00       -0.1461
 119   3   57.00  -85.00       -0.1461
 120   3   59.00  -85.00       -0.1461
 121   3   61.00  -85.00       -0.1461
 122   3   63.00  -85.00       -0.1461
 123   3   65.00  -85.00       -0.1461
 124   3   67.00  -85.00       -0.1461
 125   3   69.00  -85.00       -0.1461
 126   3   71.00  -85.00       -0.1461
 127   3   73.00  -85.00       -0.1461
 128   3   75.00  -85.00       -0.1461
 129   3   77.00  -85.00       -0.1461
 130   3   79.00  -85.00       -0.1461
 131   3   81.00  -85.00       -0.1461
 132   3   83.00  -85.00       -0.1461
 133   3   85.00  -85.00       -0.1461
 134   3   87.00  -85.00       -0.1461
 135   3   89.00  -85.00       -0.1461
 136   3   91.00  -85.00       -0.1461
 137   3   93.00  -85.00       -0.1461
 138   3   95.00  -85.00       -0.1461
 139   3   97.00  -85.00       -0.1461
 140   3   99.00  -85.00       -0.1461
 141   3  101.00  -85.00       -0.1461
 142   3  103.00  -85.00       -0.1461
 143   3  105.00  -85.00       -0.1461
 144   3  107.00  -85.00       -0.1461
 145   3  109.00  -85.00       -0.1461
 146   3  111.00  -85.00       -0.1461
 147   3  113.00  -85.00       -0.1461
 148   3  115.00  -85.00       -0.1461
 149   3  117.00  -85.00       -0.1461
 150   3  119.00  -85.00       -0.1461
 151   3  121.00  -85.00       -0.1461
 152   3  123.00  -85.00       -0.1461
 153   3  125.00  -85.00       -0.1461
 154   3  127.00  -85.00       -0.1461
 155   3  129.00  -85.00       -0.1461
 156   3  131.00  -85.00       -0.1461
 157   3  133.00  -85.00       -0.1461
 158   3  135.00  -85.00       -0.1461
 159   3  137.00  -85.00       -0.1461
