_______June_2021_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  13   3 -155.00  -85.00       -2.3353
  14   3 -153.00  -85.00       -2.3353
  15   3 -151.00  -85.00       -2.3353
  16   3 -149.00  -85.00       -2.3353
  17   3 -147.00  -85.00       -2.3353
  18   3 -145.00  -85.00       -2.3353
  19   3 -143.00  -85.00       -2.3353
  20   3 -141.00  -85.00       -2.3353
  21   3 -139.00  -85.00       -2.3353
  22   3 -137.00  -85.00       -2.3353
  23   3 -135.00  -85.00       -2.3353
  24   3 -133.00  -85.00       -2.3353
  25   3 -131.00  -85.00       -2.3353
  26   3 -129.00  -85.00       -2.3353
  27   3 -127.00  -85.00       -2.3353
  28   3 -125.00  -85.00       -2.3353
  29   3 -123.00  -85.00       -2.3353
  30   3 -121.00  -85.00       -2.3353
  31   3 -119.00  -85.00       -2.3353
  32   3 -117.00  -85.00       -2.3353
  33   3 -115.00  -85.00       -2.3353
  34   3 -113.00  -85.00       -2.3353
  35   3 -111.00  -85.00       -2.3353
  36   3 -109.00  -85.00       -2.3353
  37   3 -107.00  -85.00       -2.3353
  38   3 -105.00  -85.00       -2.3353
  39   3 -103.00  -85.00       -2.3353
  40   3 -101.00  -85.00       -2.3353
  41   3  -99.00  -85.00       -2.3353
  42   3  -97.00  -85.00       -2.3353
  43   3  -95.00  -85.00       -2.3353
  44   3  -93.00  -85.00       -2.3353
  45   3  -91.00  -85.00       -2.3353
  46   3  -89.00  -85.00       -2.3353
  47   3  -87.00  -85.00       -2.3353
  48   3  -85.00  -85.00       -2.3353
  49   3  -83.00  -85.00       -2.3353
  50   3  -81.00  -85.00       -2.3353
  51   3  -79.00  -85.00       -2.3353
  52   3  -77.00  -85.00       -2.3353
  53   3  -75.00  -85.00       -2.3353
  54   3  -73.00  -85.00       -2.3353
  55   3  -71.00  -85.00       -2.3353
  56   3  -69.00  -85.00       -2.3353
  57   3  -67.00  -85.00       -2.3353
  58   3  -65.00  -85.00       -2.3353
  59   3  -63.00  -85.00       -2.3353
  60   3  -61.00  -85.00       -2.3353
  61   3  -59.00  -85.00       -2.3353
  62   3  -57.00  -85.00       -2.3353
  63   3  -55.00  -85.00       -2.3353
  64   3  -53.00  -85.00       -2.3353
  65   3  -51.00  -85.00       -2.3353
  66   3  -49.00  -85.00       -2.3353
  67   3  -47.00  -85.00       -2.3353
  68   3  -45.00  -85.00       -2.3353
  69   3  -43.00  -85.00       -2.3353
  70   3  -41.00  -85.00       -2.3353
  71   3  -39.00  -85.00       -2.3353
  72   3  -37.00  -85.00       -2.3353
  73   3  -35.00  -85.00       -2.3353
  74   3  -33.00  -85.00       -2.3353
  75   3  -31.00  -85.00       -2.3353
  76   3  -29.00  -85.00       -2.3353
  77   3  -27.00  -85.00       -2.3353
  78   3  -25.00  -85.00       -2.3353
  79   3  -23.00  -85.00       -2.3353
  80   3  -21.00  -85.00       -2.3353
  81   3  -19.00  -85.00       -2.3353
  82   3  -17.00  -85.00       -2.3353
  83   3  -15.00  -85.00       -2.3353
  84   3  -13.00  -85.00       -2.3353
  85   3  -11.00  -85.00       -2.3353
  86   3   -9.00  -85.00       -2.3353
  87   3   -7.00  -85.00       -2.3353
  88   3   -5.00  -85.00       -2.3353
  89   3   -3.00  -85.00       -2.3353
  90   3   -1.00  -85.00       -2.3353
  91   3    1.00  -85.00       -2.3353
  92   3    3.00  -85.00       -2.3353
  93   3    5.00  -85.00       -2.3353
  94   3    7.00  -85.00       -2.3353
  95   3    9.00  -85.00       -2.3353
  96   3   11.00  -85.00       -2.3353
  97   3   13.00  -85.00       -2.3353
  98   3   15.00  -85.00       -2.3353
  99   3   17.00  -85.00       -2.3353
 100   3   19.00  -85.00       -2.3353
 101   3   21.00  -85.00       -2.3353
 102   3   23.00  -85.00       -2.3353
 103   3   25.00  -85.00       -2.3353
 104   3   27.00  -85.00       -2.3353
 105   3   29.00  -85.00       -2.3353
 106   3   31.00  -85.00       -2.3353
 107   3   33.00  -85.00       -2.3353
 108   3   35.00  -85.00       -2.3353
 109   3   37.00  -85.00       -2.3353
 110   3   39.00  -85.00       -2.3353
 111   3   41.00  -85.00       -2.3353
 112   3   43.00  -85.00       -2.3353
 113   3   45.00  -85.00       -2.3353
 114   3   47.00  -85.00       -2.3353
 115   3   49.00  -85.00       -2.3353
 116   3   51.00  -85.00       -2.3353
 117   3   53.00  -85.00       -2.3353
 118   3   55.00  -85.00       -2.3353
 119   3   57.00  -85.00       -2.3353
 120   3   59.00  -85.00       -2.3353
 121   3   61.00  -85.00       -2.3353
 122   3   63.00  -85.00       -2.3353
 123   3   65.00  -85.00       -2.3353
 124   3   67.00  -85.00       -2.3353
 125   3   69.00  -85.00       -2.3353
 126   3   71.00  -85.00       -2.3353
 127   3   73.00  -85.00       -2.3353
 128   3   75.00  -85.00       -2.3353
 129   3   77.00  -85.00       -2.3353
 130   3   79.00  -85.00       -2.3353
 131   3   81.00  -85.00       -2.3353
 132   3   83.00  -85.00       -2.3353
 133   3   85.00  -85.00       -2.3353
 134   3   87.00  -85.00       -2.3353
 135   3   89.00  -85.00       -2.3353
 136   3   91.00  -85.00       -2.3353
 137   3   93.00  -85.00       -2.3353
 138   3   95.00  -85.00       -2.3353
 139   3   97.00  -85.00       -2.3353
 140   3   99.00  -85.00       -2.3353
 141   3  101.00  -85.00       -2.3353
 142   3  103.00  -85.00       -2.3353
 143   3  105.00  -85.00       -2.3353
 144   3  107.00  -85.00       -2.3353
 145   3  109.00  -85.00       -2.3353
 146   3  111.00  -85.00       -2.3353
 147   3  113.00  -85.00       -2.3353
 148   3  115.00  -85.00       -2.3353
 149   3  117.00  -85.00       -2.3353
 150   3  119.00  -85.00       -2.3353
 151   3  121.00  -85.00       -2.3353
 152   3  123.00  -85.00       -2.3353
 153   3  125.00  -85.00       -2.3353
 154   3  127.00  -85.00       -2.3353
 155   3  129.00  -85.00       -2.3353
 156   3  131.00  -85.00       -2.3353
 157   3  133.00  -85.00       -2.3353
 158   3  135.00  -85.00       -2.3353
 159   3  137.00  -85.00       -2.3353
 160   3  139.00  -85.00       -2.3353
 161   3  141.00  -85.00       -2.3353
 162   3  143.00  -85.00       -2.3353
 163   3  145.00  -85.00       -2.3353
 164   3  147.00  -85.00       -2.3353
 165   3  149.00  -85.00       -2.3353
 166   3  151.00  -85.00       -2.3353
 167   3  153.00  -85.00       -2.3353
 168   3  155.00  -85.00       -2.3353
 169   3  157.00  -85.00       -2.3353
 170   3  159.00  -85.00       -2.3353
 171   3  161.00  -85.00       -2.3353
 172   3  163.00  -85.00       -2.3353
 173   3  165.00  -85.00       -2.3353
 174   3  167.00  -85.00       -2.3353
 175   3  169.00  -85.00       -2.3353
 176   3  171.00  -85.00       -2.3353
 177   3  173.00  -85.00       -2.3353
 178   3  175.00  -85.00       -2.3353
 179   3  177.00  -85.00       -2.3353
 180   3  179.00  -85.00       -2.3353
   1   4 -179.00  -83.00       -2.3353
   2   4 -177.00  -83.00       -2.3353
   3   4 -175.00  -83.00       -2.3353
   4   4 -173.00  -83.00       -2.3353
   5   4 -171.00  -83.00       -2.3353
   6   4 -169.00  -83.00       -2.3353
   7   4 -167.00  -83.00       -2.3353
   8   4 -165.00  -83.00       -2.3353
   9   4 -163.00  -83.00       -2.3353
  10   4 -161.00  -83.00       -2.3353
  11   4 -159.00  -83.00       -2.3353
  12   4 -157.00  -83.00       -2.3353
  13   4 -155.00  -83.00       -2.3353
  14   4 -153.00  -83.00       -2.3353
  15   4 -151.00  -83.00       -2.3353
  16   4 -149.00  -83.00       -2.3353
  17   4 -147.00  -83.00       -2.3353
  18   4 -145.00  -83.00       -2.3353
  19   4 -143.00  -83.00       -2.3353
  20   4 -141.00  -83.00       -2.3353
  21   4 -139.00  -83.00       -2.3353
  22   4 -137.00  -83.00       -2.3353
  23   4 -135.00  -83.00       -2.3353
  24   4 -133.00  -83.00       -2.3353
  25   4 -131.00  -83.00       -2.3353
  26   4 -129.00  -83.00       -2.3353
  27   4 -127.00  -83.00       -2.3353
  28   4 -125.00  -83.00       -2.3353
  29   4 -123.00  -83.00       -2.3353
  30   4 -121.00  -83.00       -2.3353
  31   4 -119.00  -83.00       -2.3353
  32   4 -117.00  -83.00       -2.3353
  33   4 -115.00  -83.00       -2.3353
  34   4 -113.00  -83.00       -2.3353
  35   4 -111.00  -83.00       -2.3353
  36   4 -109.00  -83.00       -2.3353
  37   4 -107.00  -83.00       -2.3353
  38   4 -105.00  -83.00       -2.3353
  39   4 -103.00  -83.00       -2.3353
  40   4 -101.00  -83.00       -2.3353
  41   4  -99.00  -83.00       -2.3353
  42   4  -97.00  -83.00       -2.3353
  43   4  -95.00  -83.00       -2.3353
  44   4  -93.00  -83.00       -2.3353
  45   4  -91.00  -83.00       -2.3353
  46   4  -89.00  -83.00       -2.3353
  47   4  -87.00  -83.00       -2.3353
  48   4  -85.00  -83.00       -2.3353
  49   4  -83.00  -83.00       -2.3353
  50   4  -81.00  -83.00       -2.3353
  51   4  -79.00  -83.00       -2.3353
  52   4  -77.00  -83.00       -2.3353
  53   4  -75.00  -83.00       -2.3353
  54   4  -73.00  -83.00       -2.3353
  55   4  -71.00  -83.00       -2.3353
  56   4  -69.00  -83.00       -2.3353
  57   4  -67.00  -83.00       -2.3353
  58   4  -65.00  -83.00       -2.3353
  59   4  -63.00  -83.00       -2.3353
  60   4  -61.00  -83.00       -2.3353
  61   4  -59.00  -83.00       -2.3353
  62   4  -57.00  -83.00       -2.3353
  63   4  -55.00  -83.00       -2.3353
  64   4  -53.00  -83.00       -2.3353
  65   4  -51.00  -83.00       -2.3353
  66   4  -49.00  -83.00       -2.3353
  67   4  -47.00  -83.00       -2.3353
  68   4  -45.00  -83.00       -2.3353
  69   4  -43.00  -83.00       -2.3353
  70   4  -41.00  -83.00       -2.3353
  71   4  -39.00  -83.00       -2.3353
  72   4  -37.00  -83.00       -2.3353
  73   4  -35.00  -83.00       -2.3353
  74   4  -33.00  -83.00       -2.3353
  75   4  -31.00  -83.00       -2.3353
  76   4  -29.00  -83.00       -2.3353
  77   4  -27.00  -83.00       -2.3353
  78   4  -25.00  -83.00       -2.3353
  79   4  -23.00  -83.00       -2.3353
  80   4  -21.00  -83.00       -2.3353
  81   4  -19.00  -83.00       -2.3353
  82   4  -17.00  -83.00       -2.3353
  83   4  -15.00  -83.00       -2.3353
  84   4  -13.00  -83.00       -2.3353
  85   4  -11.00  -83.00       -2.3353
  86   4   -9.00  -83.00       -2.3353
  87   4   -7.00  -83.00       -2.3353
  88   4   -5.00  -83.00       -2.3353
  89   4   -3.00  -83.00       -2.3353
  90   4   -1.00  -83.00       -2.3353
  91   4    1.00  -83.00       -2.3353
  92   4    3.00  -83.00       -2.3353
  93   4    5.00  -83.00       -2.3353
  94   4    7.00  -83.00       -2.3353
  95   4    9.00  -83.00       -2.3353
  96   4   11.00  -83.00       -2.3353
  97   4   13.00  -83.00       -2.3353
  98   4   15.00  -83.00       -2.3353
  99   4   17.00  -83.00       -2.3353
 100   4   19.00  -83.00       -2.3353
 101   4   21.00  -83.00       -2.3353
 102   4   23.00  -83.00       -2.3353
 103   4   25.00  -83.00       -2.3353
 104   4   27.00  -83.00       -2.3353
 105   4   29.00  -83.00       -2.3353
 106   4   31.00  -83.00       -2.3353
 107   4   33.00  -83.00       -2.3353
 108   4   35.00  -83.00       -2.3353
 109   4   37.00  -83.00       -2.3353
 110   4   39.00  -83.00       -2.3353
 111   4   41.00  -83.00       -2.3353
 112   4   43.00  -83.00       -2.3353
 113   4   45.00  -83.00       -2.3353
 114   4   47.00  -83.00       -2.3353
 115   4   49.00  -83.00       -2.3353
 116   4   51.00  -83.00       -2.3353
 117   4   53.00  -83.00       -2.3353
 118   4   55.00  -83.00       -2.3353
 119   4   57.00  -83.00       -2.3353
 120   4   59.00  -83.00       -2.3353
 121   4   61.00  -83.00       -2.3353
 122   4   63.00  -83.00       -2.3353
 123   4   65.00  -83.00       -2.3353
 124   4   67.00  -83.00       -2.3353
 125   4   69.00  -83.00       -2.3353
 126   4   71.00  -83.00       -2.3353
 127   4   73.00  -83.00       -2.3353
 128   4   75.00  -83.00       -2.3353
 129   4   77.00  -83.00       -2.3353
 130   4   79.00  -83.00       -2.3353
